point_index,point_status,generation_status,witness_rank,w_m1_um,i_m5_target_a,i_half_target_a,vbias_v,vtail_v,vx_v,vy_v,vout_v,w_m3_um,w_m5_um,w_m6_um,w_m7_um,id_m1_a,id_m2_a,id_m3_a,id_m4_a,id_m5_a,id_m6_a,id_m7_a,tail_kcl_rel,x_kcl_rel,y_kcl_rel,mirror_balance_rel,output_kcl_rel,i5_target_rel,max_abs_residual,rms_residual,m1_sat_headroom_v,m2_sat_headroom_v,m3_sat_headroom_v,m4_sat_headroom_v,m5_sat_headroom_v,m6_sat_headroom_v,m7_sat_headroom_v,all_saturated_50mv,stage1_feasible,stage2_feasible,stage3_feasible,stage4_feasible,stage5_feasible,complete_candidates,point_elapsed_s
49,PASS,WITNESS,1,50.0,1.0316e-05,5.158e-06,0.607,0.2995,0.5291666666666668,0.5291666666666668,0.6414867629466983,0.5344241978961313,19.16418487570231,0.6601497488116522,11.83632017569477,5.428113154490524e-06,5.428113154490524e-06,5.574258801123537e-06,5.574258801123537e-06,1.0316396438601379e-05,6.378017418399818e-06,6.378821231555314e-06,-0.04972537003333133,0.026217951452766463,0.026217951452766463,0.0,-7.791907284761542e-05,3.8428011538486236e-05,0.04972537003333133,0.02532252597262283,0.1824013245411844,0.1824013245411844,0.9120248349008924,0.9120248349008924,0.23846014889242176,0.8083004204247625,0.5808771115077075,True,464,43386,179,64,36263,123,1.9815027159638703
49,PASS,WITNESS,2,50.0,1.0316e-05,5.158e-06,0.607,0.2995,0.5291666666666668,0.5291666666666668,1.3882224562764942,0.5344241978961313,19.16418487570231,0.4679088782003598,8.389489362677569,5.428113154490524e-06,5.428113154490524e-06,5.574258801123537e-06,5.574258801123537e-06,1.0316396438601379e-05,4.746834087979092e-06,4.692855502302583e-06,-0.04972537003333133,0.026217951452766463,0.026217951452766463,0.0,0.005232511213310261,3.8428011538486236e-05,0.04972537003333133,0.025412447842282766,0.1824013245411844,0.1824013245411844,0.9120248349008924,0.9120248349008924,0.23846014889242176,0.05080158452464795,1.328948857708339,True,464,43386,179,64,36263,123,1.9815027159638703
49,PASS,WITNESS,3,50.0,1.0316e-05,5.158e-06,0.607,0.2995,0.5291666666666668,0.5291666666666668,0.5,0.5344241978961313,19.16418487570231,0.5953853021921566,10.675109817635912,5.428113154490524e-06,5.428113154490524e-06,5.574258801123537e-06,5.574258801123537e-06,1.0316396438601379e-05,5.984131368318443e-06,5.444952571349225e-06,-0.04972537003333133,0.026217951452766463,0.026217951452766463,0.0,0.05226626570077723,3.8428011538486236e-05,0.05226626570077723,0.03311378964703194,0.1824013245411844,0.1824013245411844,0.9120248349008924,0.9120248349008924,0.23846014889242176,0.94527267313177,0.4397171199178173,True,464,43386,179,64,36263,123,1.9815027159638703
49,PASS,WITNESS,4,50.0,1.0316e-05,5.158e-06,0.6880000000000001,0.299,0.5033333333333334,0.5033333333333334,1.0109244217519657,0.42,5.363027180295652,0.46790887820035987,2.9873905139168784,5.44391218599746e-06,5.44391218599746e-06,5.407993680409307e-06,5.407993680409307e-06,1.0315451153811585e-05,5.652476809734352e-06,5.6514457450952895e-06,-0.052570026722286486,-0.006597921560994446,-0.006597921560994446,0.0,9.994810382535115e-05,-5.320339166493559e-05,0.052570026722286486,0.021797116275845334,0.15701293427424273,0.15701293427424273,0.9081491746412272,0.9081491746412272,0.2084423733102077,0.40574524245153676,0.9210953722567105,True,464,43386,179,64,36263,123,1.9815027159638703
49,PASS,WITNESS,5,50.0,1.0316e-05,5.158e-06,0.6880000000000001,0.299,0.5033333333333334,0.5033333333333334,1.3646413291187112,0.42,5.363027180295652,0.4367823195660525,2.788661252030144,5.44391218599746e-06,5.44391218599746e-06,5.407993680409307e-06,5.407993680409307e-06,1.0315451153811585e-05,5.138448904234001e-06,5.395702039170755e-06,-0.052570026722286486,-0.006597921560994446,-0.006597921560994446,0.0,-0.024937294972543093,-5.320339166493559e-05,0.052570026722286486,0.024057377103432306,0.15701293427424273,0.15701293427424273,0.9081491746412272,0.9081491746412272,0.2084423733102077,0.05078736865945599,1.2745070484141956,True,464,43386,179,64,36263,123,1.9815027159638703
2001,PASS,NO_WITNESS,0,3.0416666666666665,8.33163e-05,4.165815e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0.003344584023579955
1906,PASS,WITNESS,1,13.25,7.83193e-05,3.915965e-05,0.71075,0.16599999999999998,0.54,0.54,0.8301357802089624,6.370163603444466,22.763075569225393,5.030155431370876,8.987352235924643,3.8956431094528365e-05,3.8956431094528365e-05,3.924221311086883e-05,3.924221311086883e-05,7.83403641720011e-05,3.086927937122987e-05,3.0869426895522464e-05,0.005456982329132004,0.007282515273362938,0.007282515273362938,0.0,-1.8836262912637517e-06,0.0002688801899727996,0.007282515273362938,0.004759569547388988,0.2695185173271386,0.2695185173271386,0.9887011607994873,0.9887011607994873,0.053848790768246946,0.6953866880264602,0.7225910076823512,True,543,15839,330,64,173142,192,2.2018532659858465
1906,PASS,WITNESS,2,13.25,7.83193e-05,3.915965e-05,0.71075,0.16599999999999998,0.54,0.54,1.4668262134691044,6.370163603444466,22.763075569225393,3.3281584383648664,5.946403165994846,3.8956431094528365e-05,3.8956431094528365e-05,3.924221311086883e-05,3.924221311086883e-05,7.83403641720011e-05,1.912754482047608e-05,1.9563455029147515e-05,0.005456982329132004,0.007282515273362938,0.007282515273362938,0.0,-0.00556580828316183,0.0002688801899727996,0.007282515273362938,0.005274138665151251,0.2695185173271386,0.2695185173271386,0.9887011607994873,0.9887011607994873,0.053848790768246946,0.05076160973319016,1.3617297042004526,True,543,15839,330,64,173142,192,2.2018532659858465
1906,PASS,WITNESS,3,13.25,7.83193e-05,3.915965e-05,0.71075,0.16599999999999998,0.48000000000000004,0.48000000000000004,1.286037571926101,4.362357885482179,22.763075569225393,2.527080354244826,6.5932372564638415,3.8297783799310255e-05,3.8297783799310255e-05,3.9391949428874904e-05,3.9391949428874904e-05,7.83403641720011e-05,2.183706869575871e-05,2.183909691068208e-05,0.022271999777149207,0.027776376783287832,0.027776376783287832,0.0,-2.5896744778994036e-05,0.0002688801899727996,0.027776376783287832,0.018435333627238877,0.20966761708123927,0.20966761708123927,0.9928775057140169,0.9928775057140169,0.053848790768246946,0.17608920717837595,1.1807211167844511,True,543,15839,330,64,173142,192,2.2018532659858465
1906,PASS,WITNESS,4,13.25,7.83193e-05,3.915965e-05,0.71075,0.16599999999999998,0.48000000000000004,0.48000000000000004,1.4118035834342773,4.362357885482179,22.763075569225393,2.441579859697595,6.370163603444466,3.8297783799310255e-05,3.8297783799310255e-05,3.9391949428874904e-05,3.9391949428874904e-05,7.83403641720011e-05,2.053570342766543e-05,2.1180233641168313e-05,0.022271999777149207,0.027776376783287832,0.027776376783287832,0.0,-0.008229519588439671,0.0002688801899727996,0.027776376783287832,0.01873896776639858,0.20966761708123927,0.20966761708123927,0.9928775057140169,0.9928775057140169,0.053848790768246946,0.050112301426736394,1.3065262130782604,True,543,15839,330,64,173142,192,2.2018532659858465
