polarity,model,corner,temperature_c,length_um,width_um,vgs_abs_v,vds_abs_v,vbs_abs_v,id_abs_a,vdsat_abs_v,vth_abs_v,gm_s,gds_s,saturated
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.15,0.0,1.44188e-08,0.0432843,0.615506,3.24205e-07,7.92464e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.15,0.1,8.53288e-09,0.04288,0.63884,1.98232e-07,4.72264e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.15,0.2,5.09241e-09,0.042799,0.66067,1.21975e-07,2.84144e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.15,0.3,3.06488e-09,0.0429005,0.681211,7.54784e-08,1.72453e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.3,0.0,1.53064e-08,0.0433246,0.61478,3.44045e-07,4.89081e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.3,0.1,9.0645e-09,0.0429058,0.638114,2.10487e-07,2.94116e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.3,0.2,5.4134e-09,0.0428153,0.659944,1.296e-07,1.78138e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.3,0.3,3.26021e-09,0.0429108,0.680485,8.02502e-08,1.08666e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.5,0.0,1.61852e-08,0.0433792,0.613813,3.63428e-07,4.06288e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.5,0.1,9.59455e-09,0.0429408,0.637147,2.22585e-07,2.45693e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.5,0.2,5.73522e-09,0.0428375,0.658977,1.37186e-07,1.49498e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.5,0.3,3.45692e-09,0.0429248,0.679517,8.50264e-08,9.15523e-10,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.8,0.0,1.73378e-08,0.0434631,0.612361,3.88643e-07,3.69912e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.8,0.1,1.02934e-08,0.0429947,0.635695,2.38433e-07,2.24857e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.8,0.2,6.16147e-09,0.0428718,0.657525,1.4718e-07,1.37426e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,0.8,0.3,3.71849e-09,0.0429464,0.678066,9.1349e-08,8.44831e-10,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.2,0.0,1.87911e-08,0.0435786,0.610426,4.20222e-07,3.60546e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.2,0.1,1.11791e-08,0.0430691,0.63376,2.584e-07,2.20209e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.2,0.2,6.70393e-09,0.0429191,0.65559,1.59837e-07,1.35145e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.2,0.3,4.0526e-09,0.0429764,0.67613,9.93919e-08,8.33834e-10,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.5,0.0,1.98759e-08,0.0436681,0.608974,4.43672e-07,3.63528e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.5,0.1,1.18426e-08,0.0431268,0.632308,2.73294e-07,2.22669e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.5,0.2,7.11168e-09,0.042956,0.654138,1.69315e-07,1.37e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.5,1.5,0.3,4.30446e-09,0.0429998,0.674678,1.05435e-07,8.47175e-10,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.15,0.0,1.26483e-07,0.0577155,0.615506,2.62276e-06,7.5062e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.15,0.1,8.02876e-08,0.0531907,0.63884,1.72856e-06,4.6505e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.15,0.2,5.12349e-08,0.0500043,0.66067,1.13721e-06,2.92812e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.15,0.3,3.29118e-08,0.0478518,0.681211,7.50585e-07,1.86956e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.3,0.0,1.34339e-07,0.0579135,0.61478,2.78953e-06,4.1431e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.3,0.1,8.52712e-08,0.0533428,0.638114,1.83706e-06,2.66954e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.3,0.2,5.44255e-08,0.0501177,0.659944,1.20824e-06,1.72819e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.3,0.3,3.49731e-08,0.0479343,0.680485,7.97475e-07,1.12551e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.5,0.0,1.41623e-07,0.0581803,0.613813,2.93509e-06,3.30887e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.5,0.1,9.00015e-08,0.053548,0.637147,1.93562e-06,2.16248e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.5,0.2,5.75059e-08,0.050271,0.658977,1.27465e-06,1.41509e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.5,0.3,3.69883e-08,0.0480459,0.679517,8.42231e-07,9.29315e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.8,0.0,1.50863e-07,0.0585861,0.612361,3.1144e-06,2.92636e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.8,0.1,9.60752e-08,0.053861,0.635695,2.05941e-06,1.93295e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.8,0.2,6.14983e-08,0.0505052,0.657525,1.35928e-06,1.27551e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,0.8,0.3,3.96197e-08,0.0482169,0.678066,8.999e-07,8.43301e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.2,0.0,1.62217e-07,0.059138,0.610426,3.32985e-06,2.78513e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.2,0.1,1.03609e-07,0.0542881,0.63376,2.21035e-06,1.85569e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.2,0.2,6.64881e-08,0.0508259,0.65559,1.46364e-06,1.23313e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.2,0.3,4.29287e-08,0.0484517,0.67613,9.71638e-07,8.19995e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.5,0.0,1.70537e-07,0.05956,0.608974,3.48534e-06,2.76991e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.5,0.1,1.09167e-07,0.0546158,0.632308,2.32037e-06,1.85464e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.5,0.2,7.01892e-08,0.0510728,0.654138,1.5403e-06,1.23742e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.6,1.5,0.3,4.53942e-08,0.048633,0.674678,1.02467e-06,8.25626e-09,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.15,0.0,8.02014e-07,0.101693,0.615506,1.24233e-05,7.439e-07,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.15,0.1,5.73265e-07,0.0907752,0.63884,9.73679e-06,4.64016e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.15,0.2,4.04347e-07,0.0812694,0.66067,7.42238e-06,2.95097e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.15,0.3,2.82526e-07,0.0732166,0.681211,5.52779e-06,1.91133e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.3,0.0,8.61672e-07,0.102122,0.61478,1.35784e-05,2.62792e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.3,0.1,6.13388e-07,0.0911694,0.638114,1.05322e-05,1.86744e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.3,0.2,4.31509e-07,0.0816222,0.659944,7.97527e-06,1.31951e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.3,0.3,3.01014e-07,0.0735244,0.680485,5.91454e-06,9.28221e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.5,0.0,9.04767e-07,0.102697,0.613813,1.42353e-05,1.85343e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.5,0.1,6.44622e-07,0.0916975,0.637147,1.10447e-05,1.36431e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.5,0.2,4.53944e-07,0.0820954,0.658977,8.36942e-06,9.92826e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.5,0.3,3.17011e-07,0.0739378,0.679517,6.21316e-06,7.15548e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.8,0.0,9.54312e-07,0.103563,0.612361,1.49204e-05,1.51282e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.8,0.1,6.81536e-07,0.0924946,0.635695,1.16041e-05,1.13862e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.8,0.2,4.81089e-07,0.082811,0.657525,8.81653e-06,8.44649e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,0.8,0.3,3.36748e-07,0.0745641,0.678066,6.56307e-06,6.18742e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.2,0.0,1.01119e-06,0.104725,0.610426,1.56545e-05,1.35754e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.2,0.1,7.24709e-07,0.0935667,0.63376,1.2222e-05,1.03815e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.2,0.2,5.13357e-07,0.0837759,0.65559,9.32368e-06,7.81012e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.2,0.3,3.60541e-07,0.0754109,0.67613,6.96904e-06,5.7915e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.5,0.0,1.0511e-06,0.105602,0.608974,1.61474e-05,1.309e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.5,0.1,7.55361e-07,0.0943777,0.632308,1.26446e-05,1.00916e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.5,0.2,5.36504e-07,0.0845075,0.654138,9.67638e-06,7.64776e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.7,1.5,0.3,3.77763e-07,0.0760548,0.674678,7.25547e-06,5.70803e-08,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.15,0.0,2.68073e-06,0.168284,0.615506,2.38814e-05,6.3453e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.15,0.1,2.20583e-06,0.155248,0.63884,2.22222e-05,4.45186e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.15,0.2,1.78977e-06,0.142671,0.66067,2.02627e-05,3.0357e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.15,0.3,1.43186e-06,0.130692,0.681211,1.80683e-05,2.03391e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.3,0.0,3.06241e-06,0.168792,0.61478,3.03534e-05,1.1133e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.3,0.1,2.47669e-06,0.155757,0.638114,2.71005e-05,8.55966e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.3,0.2,1.9813e-06,0.143175,0.659944,2.38538e-05,6.58109e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.3,0.3,1.56763e-06,0.131186,0.680485,2.06777e-05,5.05554e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.5,0.0,3.22114e-06,0.169469,0.613813,3.21413e-05,6.13355e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.5,0.1,2.60275e-06,0.156435,0.637147,2.86003e-05,4.99344e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.5,0.2,2.08109e-06,0.143848,0.658977,2.51113e-05,4.04217e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.5,0.3,1.64631e-06,0.131845,0.679517,2.17302e-05,3.25143e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.8,0.0,3.37368e-06,0.170484,0.612361,3.35345e-05,4.3863e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.8,0.1,2.7289e-06,0.157453,0.635695,2.98455e-05,3.67563e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.8,0.2,2.18473e-06,0.144858,0.657525,2.62186e-05,3.05723e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,0.8,0.3,1.73083e-06,0.132837,0.678066,2.27086e-05,2.52202e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.2,0.0,3.53105e-06,0.171838,0.610426,3.47891e-05,3.60833e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.2,0.1,2.8621e-06,0.158812,0.63376,3.10074e-05,3.08072e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.2,0.2,2.29658e-06,0.146208,0.65559,2.72881e-05,2.60838e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.2,0.3,1.82393e-06,0.134163,0.67613,2.36852e-05,2.18817e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.5,0.0,3.63486e-06,0.172854,0.608974,3.55496e-05,3.33729e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.5,0.1,2.95114e-06,0.159831,0.632308,3.17265e-05,2.87454e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.5,0.2,2.37231e-06,0.147221,0.654138,2.79635e-05,2.45449e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.8,1.5,0.3,1.88773e-06,0.13516,0.674678,2.4314e-05,2.07574e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.15,0.0,5.26748e-06,0.236946,0.615506,2.68668e-05,2.04413e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.15,0.1,4.70549e-06,0.225065,0.63884,2.65027e-05,1.73016e-05,0
